# DDL
CREATE DATABASE air
pm,city=Beijing humidity=85.0,pressure=1023.0,temperature=-12.0,wind_direction="NW",wind_speed=16.09,precipitation=0.0,cumulative_precipitation=0.0,pm=58.0 350704
pm,city=Beijing humidity=56.0,pressure=1023.0,temperature=-9.0,wind_direction="NW",wind_speed=21.9,precipitation=0.0,cumulative_precipitation=0.0,pm=25.0 350705
pm,city=Beijing humidity=56.0,pressure=1024.0,temperature=-10.0,wind_direction="NW",wind_speed=29.95,precipitation=0.0,cumulative_precipitation=0.0,pm=26.0 350706
pm,city=Beijing humidity=56.0,pressure=1024.0,temperature=-11.0,wind_direction="NW",wind_speed=39.78,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350707
pm,city=Beijing humidity=51.0,pressure=1025.0,temperature=-11.0,wind_direction="NW",wind_speed=48.72,precipitation=0.0,cumulative_precipitation=0.0,pm=26.0 350708
pm,city=Beijing humidity=51.0,pressure=1026.0,temperature=-12.0,wind_direction="NW",wind_speed=55.87,precipitation=0.0,cumulative_precipitation=0.0,pm=20.0 350709
pm,city=Beijing humidity=47.0,pressure=1027.0,temperature=-12.0,wind_direction="NW",wind_speed=64.81,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350710
pm,city=Beijing humidity=51.0,pressure=1027.0,temperature=-13.0,wind_direction="NW",wind_speed=73.75,precipitation=0.0,cumulative_precipitation=0.0,pm=26.0 350711
pm,city=Beijing humidity=46.0,pressure=1028.0,temperature=-13.0,wind_direction="NW",wind_speed=80.9,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350712
pm,city=Beijing humidity=46.0,pressure=1029.0,temperature=-13.0,wind_direction="NW",wind_speed=90.73,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350713
pm,city=Beijing humidity=43.0,pressure=1030.0,temperature=-12.0,wind_direction="NW",wind_speed=100.56,precipitation=0.0,cumulative_precipitation=0.0,pm=25.0 350714
pm,city=Beijing humidity=39.0,pressure=1031.0,temperature=-12.0,wind_direction="NW",wind_speed=108.61,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350715
pm,city=Beijing humidity=43.0,pressure=1030.0,temperature=-11.0,wind_direction="NW",wind_speed=117.55,precipitation=0.0,cumulative_precipitation=0.0,pm=32.0 350716
pm,city=Beijing humidity=43.0,pressure=1030.0,temperature=-10.0,wind_direction="NW",wind_speed=127.38,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350717
pm,city=Beijing humidity=40.0,pressure=1030.0,temperature=-10.0,wind_direction="NW",wind_speed=136.32,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350718
pm,city=Beijing humidity=37.0,pressure=1030.0,temperature=-9.0,wind_direction="NW",wind_speed=145.26,precipitation=0.0,cumulative_precipitation=0.0,pm=30.0 350719
pm,city=Beijing humidity=37.0,pressure=1031.0,temperature=-9.0,wind_direction="NW",wind_speed=152.41,precipitation=0.0,cumulative_precipitation=0.0,pm=30.0 350720
pm,city=Beijing humidity=47.0,pressure=1032.0,temperature=-11.0,wind_direction="NW",wind_speed=159.56,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350721
pm,city=Beijing humidity=36.0,pressure=1032.0,temperature=-11.0,wind_direction="NW",wind_speed=165.37,precipitation=0.0,cumulative_precipitation=0.0,pm=26.0 350722
pm,city=Beijing humidity=47.0,pressure=1033.0,temperature=-12.0,wind_direction="NW",wind_speed=171.18,precipitation=0.0,cumulative_precipitation=0.0,pm=31.0 350723
pm,city=Beijing humidity=36.0,pressure=1034.0,temperature=-12.0,wind_direction="NW",wind_speed=180.12,precipitation=0.0,cumulative_precipitation=0.0,pm=33.0 350724
pm,city=Beijing humidity=39.0,pressure=1034.0,temperature=-13.0,wind_direction="NW",wind_speed=187.27,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350725
pm,city=Beijing humidity=39.0,pressure=1035.0,temperature=-13.0,wind_direction="NW",wind_speed=195.32,precipitation=0.0,cumulative_precipitation=0.0,pm=31.0 350726
pm,city=Beijing humidity=38.0,pressure=1035.0,temperature=-15.0,wind_direction="NW",wind_speed=198.45,precipitation=0.0,cumulative_precipitation=0.0,pm=30.0 350727
pm,city=Beijing humidity=45.0,pressure=1035.0,temperature=-17.0,wind_direction="NW",wind_speed=201.58,precipitation=0.0,cumulative_precipitation=0.0,pm=34.0 350728
pm,city=Beijing humidity=49.0,pressure=1035.0,temperature=-18.0,wind_direction="NW",wind_speed=205.6,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350729
pm,city=Beijing humidity=53.0,pressure=1035.0,temperature=-19.0,wind_direction="NW",wind_speed=208.73,precipitation=0.0,cumulative_precipitation=0.0,pm=25.0 350730
pm,city=Beijing humidity=45.0,pressure=1035.0,temperature=-18.0,wind_direction="NW",wind_speed=213.65,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350731
pm,city=Beijing humidity=49.0,pressure=1035.0,temperature=-19.0,wind_direction="NW",wind_speed=218.57,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350732
pm,city=Beijing humidity=38.0,pressure=1034.0,temperature=-16.0,wind_direction="NE",wind_speed=4.92,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350733
pm,city=Beijing humidity=41.0,pressure=1035.0,temperature=-16.0,wind_direction="NE",wind_speed=8.05,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350734
pm,city=Beijing humidity=38.0,pressure=1034.0,temperature=-16.0,wind_direction="NE",wind_speed=13.86,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350735
pm,city=Beijing humidity=41.0,pressure=1035.0,temperature=-16.0,wind_direction="NE",wind_speed=18.78,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350736
pm,city=Beijing humidity=38.0,pressure=1035.0,temperature=-15.0,wind_direction="NE",wind_speed=24.59,precipitation=0.0,cumulative_precipitation=0.0,pm=36.0 350737
pm,city=Beijing humidity=38.0,pressure=1035.0,temperature=-14.0,wind_direction="NE",wind_speed=29.51,precipitation=0.0,cumulative_precipitation=0.0,pm=30.0 350738
pm,city=Beijing humidity=35.0,pressure=1035.0,temperature=-13.0,wind_direction="NE",wind_speed=34.43,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350739
pm,city=Beijing humidity=33.0,pressure=1034.0,temperature=-12.0,wind_direction="NE",wind_speed=39.35,precipitation=0.0,cumulative_precipitation=0.0,pm=39.0 350740
pm,city=Beijing humidity=33.0,pressure=1032.0,temperature=-11.0,wind_direction="NE",wind_speed=41.14,precipitation=0.0,cumulative_precipitation=0.0,pm=41.0 350741
pm,city=Beijing humidity=39.0,pressure=1032.0,temperature=-11.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0,pm=33.0 350742
pm,city=Beijing humidity=36.0,pressure=1031.0,temperature=-11.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0,pm=50.0 350743
pm,city=Beijing humidity=33.0,pressure=1031.0,temperature=-11.0,wind_direction="NW",wind_speed=3.58,precipitation=0.0,cumulative_precipitation=0.0,pm=56.0 350744
pm,city=Beijing humidity=36.0,pressure=1031.0,temperature=-11.0,wind_direction="NW",wind_speed=5.37,precipitation=0.0,cumulative_precipitation=0.0,pm=59.0 350745
pm,city=Beijing humidity=36.0,pressure=1032.0,temperature=-11.0,wind_direction="NW",wind_speed=7.16,precipitation=0.0,cumulative_precipitation=0.0,pm=60.0 350746
pm,city=Beijing humidity=46.0,pressure=1033.0,temperature=-13.0,wind_direction="NW",wind_speed=10.29,precipitation=0.0,cumulative_precipitation=0.0,pm=84.0 350747
pm,city=Beijing humidity=43.0,pressure=1033.0,temperature=-12.0,wind_direction="NW",wind_speed=13.42,precipitation=0.0,cumulative_precipitation=0.0,pm=106.0 350748
pm,city=Beijing humidity=59.0,pressure=1033.0,temperature=-18.0,wind_direction="NW",wind_speed=16.55,precipitation=0.0,cumulative_precipitation=0.0,pm=66.0 350749
pm,city=Beijing humidity=46.0,pressure=1034.0,temperature=-13.0,wind_direction="NW",wind_speed=20.57,precipitation=0.0,cumulative_precipitation=0.0,pm=50.0 350750
pm,city=Beijing humidity=59.0,pressure=1033.0,temperature=-16.0,wind_direction="NW",wind_speed=23.7,precipitation=0.0,cumulative_precipitation=0.0,pm=56.0 350751
pm,city=Beijing humidity=49.0,pressure=1033.0,temperature=-17.0,wind_direction="NW",wind_speed=26.83,precipitation=0.0,cumulative_precipitation=0.0,pm=77.0 350752
pm,city=Beijing humidity=38.0,pressure=1033.0,temperature=-14.0,wind_direction="NE",wind_speed=4.02,precipitation=0.0,cumulative_precipitation=0.0,pm=50.0 350753
pm,city=Beijing humidity=35.0,pressure=1034.0,temperature=-14.0,wind_direction="NE",wind_speed=8.04,precipitation=0.0,cumulative_precipitation=0.0,pm=44.0 350754
pm,city=Beijing humidity=35.0,pressure=1033.0,temperature=-14.0,wind_direction="NE",wind_speed=13.85,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350755
pm,city=Beijing humidity=35.0,pressure=1033.0,temperature=-14.0,wind_direction="NE",wind_speed=17.87,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350756
pm,city=Beijing humidity=35.0,pressure=1033.0,temperature=-14.0,wind_direction="NE",wind_speed=23.68,precipitation=0.0,cumulative_precipitation=0.0,pm=21.0 350757
pm,city=Beijing humidity=35.0,pressure=1033.0,temperature=-14.0,wind_direction="NE",wind_speed=28.6,precipitation=0.0,cumulative_precipitation=0.0,pm=25.0 350758
pm,city=Beijing humidity=38.0,pressure=1034.0,temperature=-15.0,wind_direction="NE",wind_speed=33.52,precipitation=0.0,cumulative_precipitation=0.0,pm=20.0 350759
pm,city=Beijing humidity=35.0,pressure=1034.0,temperature=-14.0,wind_direction="NE",wind_speed=39.33,precipitation=0.0,cumulative_precipitation=0.0,pm=29.0 350760
pm,city=Beijing humidity=35.0,pressure=1035.0,temperature=-13.0,wind_direction="NE",wind_speed=44.25,precipitation=0.0,cumulative_precipitation=0.0,pm=34.0 350761
pm,city=Beijing humidity=33.0,pressure=1035.0,temperature=-12.0,wind_direction="NE",wind_speed=50.06,precipitation=0.0,cumulative_precipitation=0.0,pm=42.0 350762
pm,city=Beijing humidity=33.0,pressure=1035.0,temperature=-11.0,wind_direction="NE",wind_speed=54.98,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350763
pm,city=Beijing humidity=30.0,pressure=1034.0,temperature=-10.0,wind_direction="NE",wind_speed=59.0,precipitation=0.0,cumulative_precipitation=0.0,pm=36.0 350764
pm,city=Beijing humidity=36.0,pressure=1033.0,temperature=-10.0,wind_direction="NW",wind_speed=4.02,precipitation=0.0,cumulative_precipitation=0.0,pm=48.0 350765
pm,city=Beijing humidity=34.0,pressure=1033.0,temperature=-9.0,wind_direction="NW",wind_speed=5.81,precipitation=0.0,cumulative_precipitation=0.0,pm=49.0 350766
pm,city=Beijing humidity=31.0,pressure=1033.0,temperature=-8.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0,pm=52.0 350767
pm,city=Beijing humidity=31.0,pressure=1033.0,temperature=-8.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0,pm=56.0 350768
pm,city=Beijing humidity=37.0,pressure=1033.0,temperature=-9.0,wind_direction="NW",wind_speed=3.58,precipitation=0.0,cumulative_precipitation=0.0,pm=96.0 350769
pm,city=Beijing humidity=34.0,pressure=1033.0,temperature=-9.0,wind_direction="NW",wind_speed=5.37,precipitation=0.0,cumulative_precipitation=0.0,pm=75.0 350770
pm,city=Beijing humidity=50.0,pressure=1034.0,temperature=-14.0,wind_direction="cv",wind_speed=0.89,precipitation=0.0,cumulative_precipitation=0.0,pm=105.0 350771
pm,city=Beijing humidity=43.0,pressure=1035.0,temperature=-12.0,wind_direction="NW",wind_speed=1.79,precipitation=0.0,cumulative_precipitation=0.0,pm=132.0 350772
pm,city=Beijing humidity=55.0,pressure=1034.0,temperature=-14.0,wind_direction="NW",wind_speed=3.58,precipitation=0.0,cumulative_precipitation=0.0,pm=93.0 350773
pm,city=Beijing humidity=59.0,pressure=1035.0,temperature=-16.0,wind_direction="NW",wind_speed=5.37,precipitation=0.0,cumulative_precipitation=0.0,pm=131.0 350774
pm,city=Beijing humidity=65.0,pressure=1035.0,temperature=-16.0,wind_direction="NW",wind_speed=7.16,precipitation=0.0,cumulative_precipitation=0.0,pm=127.0 350775
pm,city=Beijing humidity=65.0,pressure=1035.0,temperature=-16.0,wind_direction="NW",wind_speed=8.95,precipitation=0.0,cumulative_precipitation=0.0,pm=130.0 350776
pm,city=Beijing humidity=65.0,pressure=1035.0,temperature=-16.0,wind_direction="cv",wind_speed=0.45,precipitation=0.0,cumulative_precipitation=0.0,pm=43.0 350777
pm,city=Beijing humidity=70.0,pressure=1036.0,temperature=-18.0,wind_direction="cv",wind_speed=1.34,precipitation=0.0,cumulative_precipitation=0.0,pm=37.0 350778
pm,city=Beijing humidity=50.0,pressure=1036.0,temperature=-15.0,wind_direction="NW",wind_speed=4.02,precipitation=0.0,cumulative_precipitation=0.0,pm=30.0 350779
pm,city=Beijing humidity=50.0,pressure=1035.0,temperature=-16.0,wind_direction="NW",wind_speed=7.15,precipitation=0.0,cumulative_precipitation=0.0,pm=28.0 350780
pm,city=Beijing humidity=42.0,pressure=1035.0,temperature=-15.0,wind_direction="NW",wind_speed=10.28,precipitation=0.0,cumulative_precipitation=0.0,pm=24.0 350781
pm,city=Beijing humidity=46.0,pressure=1035.0,temperature=-15.0,wind_direction="NW",wind_speed=14.3,precipitation=0.0,cumulative_precipitation=0.0,pm=23.0 350782
pm,city=Beijing humidity=35.0,pressure=1036.0,temperature=-13.0,wind_direction="NE",wind_speed=4.92,precipitation=0.0,cumulative_precipitation=0.0,pm=24.0 350783
pm,city=Beijing humidity=42.0,pressure=1036.0,temperature=-14.0,wind_direction="NW",wind_speed=4.02,precipitation=0.0,cumulative_precipitation=0.0,pm=27.0 350784
pm,city=Beijing humidity=39.0,pressure=1036.0,temperature=-12.0,wind_direction="NW",wind_speed=8.94,precipitation=0.0,cumulative_precipitation=0.0,pm=40.0 350785
pm,city=Beijing humidity=39.0,pressure=1036.0,temperature=-11.0,wind_direction="NW",wind_speed=12.96,precipitation=0.0,cumulative_precipitation=0.0,pm=42.0 350786
pm,city=Beijing humidity=43.0,pressure=1036.0,temperature=-10.0,wind_direction="NW",wind_speed=16.09,precipitation=0.0,cumulative_precipitation=0.0,pm=42.0 350787
pm,city=Beijing humidity=37.0,pressure=1035.0,temperature=-9.0,wind_direction="NW",wind_speed=19.22,precipitation=0.0,cumulative_precipitation=0.0,pm=55.0 350788
pm,city=Beijing humidity=34.0,pressure=1034.0,temperature=-8.0,wind_direction="NW",wind_speed=21.01,precipitation=0.0,cumulative_precipitation=0.0,pm=52.0 350789
pm,city=Beijing humidity=34.0,pressure=1033.0,temperature=-7.0,wind_direction="NW",wind_speed=22.8,precipitation=0.0,cumulative_precipitation=0.0,pm=51.0 350790
pm,city=Beijing humidity=34.0,pressure=1032.0,temperature=-7.0,wind_direction="NW",wind_speed=24.59,precipitation=0.0,cumulative_precipitation=0.0,pm=57.0 350791
pm,city=Beijing humidity=44.0,pressure=1032.0,temperature=-8.0,wind_direction="NW",wind_speed=26.38,precipitation=0.0,cumulative_precipitation=0.0,pm=50.0 350792
